Country,WHO Group,3TC_Actual,3TC_Computed,3TC_Diff,ABC_Actual,ABC_Computed,ABC_Diff,AZT_Actual,AZT_Computed,AZT_Diff,ddl_Actual,ddl_Computed,ddl_Diff,d4T_Actual,d4T_Computed,d4T_Diff,EFV_Actual,EFV_Computed,EFV_Diff,FTC_Actual,FTC_Computed,FTC_Diff,LPV/r_Actual,LPV/r_Computed,LPV/r_Diff,NVP_Actual,NVP_Computed,NVP_Diff,TDF_Actual,TDF_Computed,TDF_Diff,ATV/r_Actual,ATV/r_Computed,ATV/r_Diff,Overall_Actual,Overall_Computed,Overall_Diff
"Bonaire, Saint Eustatius and Saba",B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,A,2332.29,2331.6608947765744,-0.6291052234255403,99.98,99.72552922422311,-0.2544707757768947,947.07,946.1846632362393,-0.8853367637607334,2.66,2.6567361017103943,-0.0032638982896058266,13.72,13.71746450194399,-0.00253549805601061,1630.74,1630.9361658796147,0.19616587961468213,562.14,562.1969346566306,0.056934656630573954,223.15,222.98869099397194,-0.16130900602806264,1013.53,1012.909525664762,-0.6204743352379865,1889.84,1856.8100928709255,-33.029907129074445,29.3,29.318539378156828,0.01853937815682727,8744.41,8709.105237284752,-35.304762715248216
Brazil,B,26289.59,26283.392893941527,-6.197106058472855,698.93,697.2401026090347,-1.6898973909652568,10268.91,10262.21439677799,-6.695603222009595,17.6,17.610684511113032,0.010684511113030482,90.67,90.67937726188876,0.009377261888758426,19233.0,19232.272609946875,-0.7273900531254185,6809.37,6809.04766152554,-0.3223384744596842,2405.37,2404.599661675673,-0.7703383243269855,11107.32,11102.123527570622,-5.196472429377536,22729.25,22310.37453444501,-418.8754655549892,368.48,368.65815357916176,0.17815357916174435,100018.5,99578.21360384444,-440.28639615555585
British Virgin Islands,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,A,577.01,576.6959840200699,-0.31401597993010455,36.29,36.18843420731789,-0.10156579268210919,239.96,239.59464135154784,-0.3653586484521725,1.03,1.034827734802462,0.004827734802461903,5.29,5.294201905743316,0.004201905743316026,385.23,385.26304099330025,0.03304099330023291,131.04,131.05387715709543,0.013877157095436132,62.55,62.47535515868442,-0.0746448413155747,254.1,253.8368842963484,-0.2631157036516072,440.49,432.509718475279,-7.980281524721022,7.06,7.068531892003643,0.008531892003643016,2140.06,2131.0154971921925,-9.044502807807476
Burundi,A,2295.02,2293.9995480757334,-1.020451924266581,131.43,131.06836490356565,-0.3616350964343553,943.38,942.1099461701345,-1.2700538298654465,3.73,3.7287594329340172,-0.001240567065982745,19.07,19.070988596641108,0.0009885966411076197,1557.47,1557.6679472588328,0.19794725883275532,533.36,533.4190758644088,0.05907586440878276,243.0,242.73486066134623,-0.2651393386537677,1002.38,1001.4720476090331,-0.9079523909668978,1790.82,1758.4407716145063,-32.37922838549366,28.75,28.764910716521207,0.014910716521207235,8548.4,8512.477220903658,-35.9227790963414
Cambodia,A,3983.28,3983.6548258435487,0.3748258435484786,14.9,14.909380884111105,0.009380884111104493,1457.17,1457.2464821128633,0.07648211286323203,0.0,0.0,0.0,0.0,0.0,0.0,3121.97,3122.1219884507905,0.15198845079066814,1118.96,1119.0006858722957,0.04068587229562581,316.2,316.37543235281527,0.17543235281527814,1605.41,1605.4610531548471,0.05105315484706807,3736.78,3670.3852628116356,-66.39473718836462,58.66,58.69703775739058,0.03703775739058557,15413.33,15347.8521492403,-65.47785075970023
